ref,state,constituency,won status,votes,(votes),Name,Party Name
2694,Maharashtra,Hatkanangale(48),lost,679,( -519511),DINAKARRAO TULSHIDAS CHAVAN (PATIL),All India Forward Bloc
2695,Maharashtra,Hatkanangale(48),lost,618,( -519572),RAMCHANDRA GOVINDRAO SALUNKHE,Independent
2696,Maharashtra,Hatkanangale(48),lost,560,( -519630),MOHITE DEVENDRA NANA,Independent
2697,Maharashtra,Hatkanangale(48),lost,424,( -519766),MANE ARVIND BHIVA,Independent
2698,Maharashtra,Hatkanangale(48),lost,361,( -519829),MAHAMMAD MUBARAK DARAVESHI,Independent
2699,Maharashtra,Hatkanangale(48),,5103,( -515087),NOTA,None of the Above
2700,Maharashtra,Madha(43),won,622213,(+ 120837),MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar
2701,Maharashtra,Madha(43),lost,501376,( -120837),RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party
2702,Maharashtra,Madha(43),lost,58421,( -563792),ER. RAMCHANDRA MAYAPPA GHUTUKADE,New Rashtriya Samaj Party
2703,Maharashtra,Madha(43),lost,20604,( -601609),BARASKAR RAMESH NAGNATH,Vanchit Bahujan  Aaghadi
2704,Maharashtra,Madha(43),lost,7094,( -615119),JANKAR SWARUP DADA,Bahujan Samaj Party
2705,Maharashtra,Madha(43),lost,5134,( -617079),HAKE LAXMAN SOPAN,Independent
2706,Maharashtra,Madha(43),lost,4986,( -617227),SITARAM VITTHAL RANDIVE,Independent
2707,Maharashtra,Madha(43),lost,4433,( -617780),DHANAJI SHRIPATI MASKE,Independent
2708,Maharashtra,Madha(43),lost,4046,( -618167),BICHUKALE SANTOSH BALASAHEB,Republican Party of India (A)
2709,Maharashtra,Madha(43),lost,3909,( -618304),SAWANT RAHUL SHASHIKANT,Independent
2710,Maharashtra,Madha(43),lost,3067,( -619146),AWARE SIDDHESHWAR BHARAT,All India Forward Bloc
2711,Maharashtra,Madha(43),lost,2864,( -619349),HANUMANT NARAYAN MANE,Independent
2712,Maharashtra,Madha(43),lost,2687,( -619526),NANDU SAMBHAJI MORE,Independent
2713,Maharashtra,Madha(43),lost,2435,( -619778),NAVANATH BIRA MADANE,Independent
2714,Maharashtra,Madha(43),lost,2383,( -619830),GIRISH PRABHAKAR SHETE,Independent
2715,Maharashtra,Madha(43),lost,2347,( -619866),ADV. JORE SACHIN BHASKAR,Independent
2716,Maharashtra,Madha(43),lost,2214,( -619999),NANASAHEB RAMHARI YADAV,Independent
2717,Maharashtra,Madha(43),lost,2175,( -620038),KIRAN TANAJI SATHE,Independent
2718,Maharashtra,Madha(43),lost,2052,( -620161),BHAUSAHEB SUKHADEV LIGADE,Independent
2719,Maharashtra,Madha(43),lost,1953,( -620260),ER. BALIRAM SUKHADEV MORE,Independent
2720,Maharashtra,Madha(43),lost,1755,( -620458),KHARAT SANDIP JANARADHAN,Independent
2721,Maharashtra,Madha(43),lost,1560,( -620653),NARAYAN TATOBA KALEL,Independent
2722,Maharashtra,Madha(43),lost,1289,( -620924),GOPAL YESHVANT JADHAV,Bharatheeya Jawan Kisan Party
2723,Maharashtra,Madha(43),lost,1279,( -620934),KASHINATH KISAN DEOKATE,Independent
2724,Maharashtra,Madha(43),lost,1260,( -620953),SATYAWAN VIJAY OMBASE,Swarajya Sena (Maharashtra)
2725,Maharashtra,Madha(43),lost,1191,( -621022),SITAPURE VINOD DILIP,Independent
2726,Maharashtra,Madha(43),lost,989,( -621224),ASHOK DNYANDEV WAGHMODE,Independent
2727,Maharashtra,Madha(43),lost,982,( -621231),ANIL BHAGAVAN SHEDAGE,Independent
2728,Maharashtra,Madha(43),lost,903,( -621310),AMOL MADHUKAR KARADE,Independent
2729,Maharashtra,Madha(43),lost,843,( -621370),RASHID ISMAIL SHAIKH,Independent
2730,Maharashtra,Madha(43),lost,671,( -621542),MORE ROHIT RAMKRUSHNA,Independent
2731,Maharashtra,Madha(43),lost,601,( -621612),SARADE GANESH NAVNATH,Independent
2732,Maharashtra,Madha(43),,3702,( -618511),NOTA,None of the Above
2733,Maharashtra,Osmanabad(40),won,748752,(+ 329846),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey)
2734,Maharashtra,Osmanabad(40),lost,418906,( -329846),ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party
2735,Maharashtra,Osmanabad(40),lost,33402,( -715350),ANDHALKAR BHAUSAHEB RAOSAHEB,Vanchit Bahujan  Aaghadi
2736,Maharashtra,Osmanabad(40),lost,18966,( -729786),GOVARDHAN SUBRAO NIMBALKAR,Independent
2737,Maharashtra,Osmanabad(40),lost,6472,( -742280),DNYANESHWAR NAGANATHRAO KOLI,Samata Party
2738,Maharashtra,Osmanabad(40),lost,5715,( -743037),KAKASAHEB SANDIPAN KHOT,Independent
2739,Maharashtra,Osmanabad(40),lost,5615,( -743137),SANJAYKUMAR BHAGWAT WAGHMARE,Bahujan Samaj Party
2740,Maharashtra,Osmanabad(40),lost,4811,( -743941),KAKA FULCHAND KAMBLE,Independent
2741,Maharashtra,Osmanabad(40),lost,3263,( -745489),RAM HANUMANT SHENDAGE,Independent
2742,Maharashtra,Osmanabad(40),lost,3095,( -745657),UMAJI PANDURANG GAIKWAD,Independent
2743,Maharashtra,Osmanabad(40),lost,2336,( -746416),GORE NETAJI NAGNATH,Desh Janhit Party
2744,Maharashtra,Osmanabad(40),lost,2172,( -746580),HANUMANT LAXMAN BONDAR,Independent
2745,Maharashtra,Osmanabad(40),lost,2108,( -746644),NAVNATH DASHRATH UPALEKAR,Independent
2746,Maharashtra,Osmanabad(40),lost,2060,( -746692),SIDDIK IBRAHIM BAUDIWALE ALIAS GOLABHAI,All India Majlis-E-Ittehadul Muslimeen
